Events
100
Subject,Context,Name,Time (s),Description
Knife-Expert,Left,Foot Strike,2.98,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,5.09,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,7.07,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,8.95,The instant the heel strikes the ground
Knife-Expert,Left,Foot Strike,10.6,The instant the heel strikes the ground
Knife-Expert,Left,Foot Off,2.36,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,4.56,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,6.59,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,8.45,The instant the toe leaves the ground
Knife-Expert,Left,Foot Off,10.36,The instant the toe leaves the ground
Knife-Expert,Right,Foot Strike,1.83,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,4.06,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,6.12,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,8.01,The instant the heel strikes the ground
Knife-Expert,Right,Foot Strike,9.86,The instant the heel strikes the ground
Knife-Expert,Right,Foot Off,1,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,3.48,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,5.47,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,7.5,The instant the toe leaves the ground
Knife-Expert,Right,Foot Off,9.39,The instant the toe leaves the ground

Trajectories
100
,,Knife-Expert:KnifeBlade-Base,,,Knife-Expert:KnifeBlade-Middle,,,Knife-Expert:KnifeBlade-Top,,,HR-Expert:HoningRod-Handle1,,,HR-Expert:HoningRod-Handle2,,,HR-Expert:HoningRod-Handle3,,,HR-Expert:HoningRod-Handle4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
50,0,-79.5971,87.6594,281.75,-80.2524,24.7976,283.442,-76.3006,66.1518,275.601,1.82839,22.8395,337.825,-2.15932,36.3483,401.108,2.42959,22.5132,369.103,15.3344,49.7146,428.827
51,0,-80.3003,84.211,274.083,-82.1745,21.4008,273.309,-77.5821,62.9135,266.949,2.28694,22.3707,337.824,-1.72257,35.494,401.332,2.82291,21.9818,369.21,15.7995,48.8602,429.01
52,0,-81.1116,80.7975,267.103,-83.062,18.0541,264.183,-78.8083,59.7158,259.033,2.68048,21.6858,337.846,-1.24342,34.9698,401.283,3.20611,21.2802,369.273,16.2579,48.2632,429.061
53,0,-80.8808,77.4155,260.468,-83.6876,14.7263,255.886,-78.896,56.4767,251.671,3.07215,21.0103,337.867,-0.852663,34.1961,401.419,3.54193,20.5703,369.29,16.5941,47.5445,429.132
54,0,-80.5428,73.6002,254.604,-83.4181,11.4344,248.975,-79.1618,53.0448,245.521,3.54436,20.3175,337.971,-0.235774,33.2003,401.417,4.01387,19.6069,369.359,16.9939,46.4182,429.233
55,0,-80.2017,70.1678,249.454,-83.2543,7.62046,243.094,-78.9157,49.6654,240.095,3.87344,19.4788,338.059,0.148962,32.3534,401.422,4.39667,18.9408,369.366,17.2998,45.609,429.243
56,0,-79.9781,66.2349,245.257,-82.9834,3.99796,238.21,-78.7285,45.9611,235.621,4.15587,18.8341,338.055,0.27241,31.4302,401.562,4.71909,18.1165,369.205,17.5094,44.7302,429.327
57,0,-79.6203,62.5091,241.843,-83.0096,0.284124,234.598,-78.6982,42.0479,231.992,4.31263,18.1102,338.085,0.298522,30.6253,401.679,4.85573,17.3333,369.398,17.667,43.8733,429.409
58,0,-79.5006,58.5069,239.099,-83.1456,-3.67058,231.916,-78.7798,38.2223,229.223,4.27096,17.3857,338.114,0.235799,29.5493,401.705,4.82838,16.4412,369.53,17.7084,43.05,429.581
59,0,-79.2578,54.4632,236.919,-83.1913,-7.88141,229.964,-78.6526,34.1523,227.018,4.23983,16.7231,338.12,0.110769,28.8754,401.679,4.88779,15.8212,369.511,17.5354,42.2511,429.662
60,0,-78.6502,50.3408,234.922,-82.8828,-11.8492,228.139,-78.0313,29.9015,225.185,4.21842,16.0849,338.205,-0.0143634,28.0809,401.855,4.8294,15.1916,369.506,17.2872,41.4566,429.654
61,0,-77.5451,46.2047,232.959,-81.5787,-16.2185,226.379,-77.3574,25.7354,223.291,4.15692,15.478,338.271,-0.0723753,27.2648,402.077,4.5531,14.448,369.572,17.1348,40.709,429.793
62,0,-76.277,42.0408,230.917,-79.9152,-20.3644,224.374,-75.6876,21.5566,221.131,4.04611,14.9634,338.281,-0.149574,26.7041,402.045,4.41745,13.8367,369.581,16.9445,39.9598,429.858
63,0,-74.3037,37.8999,228.626,-77.7191,-24.4665,222.003,-73.7368,17.3216,218.946,3.84723,14.516,338.275,-0.403759,26.1631,402.003,4.35531,13.3669,369.511,16.7087,39.4224,429.893
64,0,-72.6141,33.7525,226.2,-75.6514,-28.5031,219.591,-71.7712,13.4807,216.516,3.64494,14.1139,338.277,-0.852997,25.5508,402.061,4.22653,12.9403,369.523,16.4544,38.9628,429.898
65,0,-70.9704,29.8938,223.881,-73.9349,-32.4881,217.003,-69.941,9.50071,214.177,3.44115,13.8476,338.268,-1.26738,25.0912,402.106,3.92616,12.5532,369.572,16.2068,38.5631,429.961
